profile_id,address_line_1,address_line_2,city,state,zip_code
B000057,159 Downey Drive,A,Manchester,CT,06040
B000058,125 John Street,,Santa Cruz,CA,95060
B000059,1101 Lotus Avenue,,Glen Burnie,MD,21061
B000060,8376 Albacore Drive,,Pasadena,MD,21122
B000061,491 Arabian Way,,Grand Junction,CO,81504
B000062,12245 West 71st Place,,Arvada,CO,80004
B000063,80 North East Street,#4,Holyoke,MA,01040
B000064,4695 East Huntsville Road,,Fayetteville,AR,72701
B000065,310 Timrod Road,,Manchester,CT,06040
B000066,1364 Capri Drive,,Panama City,FL,32405
B000067,132 Laurel Green Court,,Savannah,GA,31419
B000068,6657 West Rose Garden Lane,,Glendale,AZ,85308
B000069,519 West 75th Avenue,#APT 000003,Anchorage,AK,99518
B000070,31353 Santa Elena Way,,Union City,CA,94587
B000071,8398 West Denton Lane,,Glendale,AZ,85305
B000072,700 Winston Place,,Anchorage,AK,99504
B000073,232 Maine Avenue,,Panama City,FL,32401
B000074,1 Kempf Drive,,Easton,MA,02375
B000075,5811 Crossings Boulevard,,Nashville,TN,37013
B000076,5108 Franklin Street,,Savannah,GA,31405
B000077,913 Fallview Trail,,Nashville,TN,37211
B000078,270 Chrissy's Court,,,VT,05443
B000079,130 Old Route 103,,Chester,VT,05143
B000080,10826 Pointe Royal Drive,,Bakersfield,CA,93311
B000081,74 Ranch Drive,,Montgomery,AL,36109
B000082,6601 West Ocotillo Road,,Glendale,AZ,85301
B000083,19416 Barclay Road,,Castro Valley,CA,94546
B000084,1347 Blackwalnut Court,,Annapolis,MD,21403
B000085,1770 Colony Way,,Fayetteville,AR,72704
B000086,165 Saint John Street,,Manchester,CT,06040
B000087,2409 Research Boulevard,,Fort Collins,CO,80526
B000088,1903 Bashford Manor Lane,,Louisville,KY,40218
B000089,8315 Surf Drive,,Panama City Beach,FL,32408
B000090,3301 Old Muldoon Road,,Anchorage,AK,99504
B000091,8800 Cordell Circle,#APT 000003,Anchorage,AK,99502
B000092,117 East Cook Avenue,,Anchorage,AK,99501
B000093,6231 North 67th Avenue,#241,Glendale,AZ,85301
B000094,8505 Waters Avenue,#66,Savannah,GA,31406
B000095,7 Underwood Place Northwest,,Washington,DC,20012
B000096,21950 Arnold Center Road,,Carson,CA,90810
B000097,1427 South Carolina Avenue Southeast,,Washington,DC,20003
B000098,1420 Turtleback Trail,,Panama City,FL,32413
B000099,6990 Pierson Street,,Arvada,CO,80004
B000100,376 North Williams Drive,,Fayetteville,AR,72701
B000101,3617 Menlo Court,,Montgomery,AL,36116
B000102,711 Parker Street,,East Longmeadow,MA,01028
B000103,8521 Crystal Street,,Anchorage,AK,99502
B000104,1622 Edgar D Nixon Avenue,,Montgomery,AL,36104
B000105,1608 Gales Street Northeast,,Washington,DC,20002
B000106,122 East Hayes Street,,Norman,OK,73069
B000107,5144 Cattail Court,,Fayetteville,AR,72701
B000108,131 Kent Drive,,Manchester,CT,06042
B000109,2313 Vegas Avenue,,Castro Valley,CA,94546
B000110,5420 Sunset Avenue,,Panama City Beach,FL,32408
B000111,242 North Ash Street,,Fruita,CO,81521
B000112,38676 Greenwich Circle,,Fremont,CA,94536
B000113,2426 East Onyx Trail,#6,Fayetteville,AR,72701
B000114,110 Seaton Place Northwest,,Washington,DC,20001
B000115,5385 Iris Street,,Arvada,CO,80002
B000116,5628 West Tonopah Drive,,Glendale,AZ,85308
B000117,65 Bay Drive,,Annapolis,MD,21403
B000118,7401 North 61st Drive,,Glendale,AZ,85301
B000119,8 Watkins Road,,,VT,05468
B000120,2209 June Drive,,Nashville,TN,37214
B000121,1840 Nobel Place,,Louisville,KY,40216
B000122,2622 Martin Luther King Junior Boulevard,,Fayetteville,AR,72704
B000123,4 Glen Circle,,Glen Burnie,MD,21060
B000124,7529 West 72nd Avenue,#4,Arvada,CO,80003
B000125,10996 Largo Drive,,Savannah,GA,31419
B000126,2027 North Shannon Drive,#5,Fayetteville,AR,72703
B000127,154 Boca Lagoon Drive,,Panama City Beach,FL,32408
B000128,3311 Wiley Post Loop,,Anchorage,AK,99517
B000129,5055 West 58th Avenue,,Arvada,CO,80002
B000130,3228 Chettenham Drive,,Rancho Cordova,CA,95670
B000131,1901 North Midwest Boulevard,,Edmond,OK,73034
B000132,1536 North Main Street,,Salinas,CA,93906
B000133,33 Linscott Road,,Hingham,MA,02043
B000134,1732 27th Avenue,,Oakland,CA,94601
B000135,22 Gallatin Street Northeast,,Washington,DC,20011
B000136,8125 Glynnwood Drive,,Montgomery,AL,36117
B000137,2139 Glynnwood Drive,,Savannah,GA,31404
B000138,14 School Street,,Medway,MA,02053
B000139,264 Crest Drive,,Soldotna,AK,99669
B000140,307 Joel Street,,Pooler,GA,31322
B000141,188 River Road,,Essex,VT,05452
B000142,1643 Oxford Street,R C,Berkeley,CA,94709
B000143,5545 Saddlewood Lane,,Brentwood,TN,37027
B000144,26466 Mockingbird Lane,,Hayward,CA,94544
B000145,4840 Reservoir Road Northwest,,Washington,DC,20007
B000146,599 Cambridge Street,#303,Cambridge,MA,02141
B000147,584 Rural Hill Road,,Nashville,TN,37217
B000148,10262 West 59th Avenue,#1,Arvada,CO,80004
B000149,945 South 5th Street,#1020,Louisville,KY,40203
B000150,2543 The Meadows,,Montgomery,AL,36116
B000151,153 Atlantic Avenue,#6,Salisbury,MA,01952
B000152,9 Brooklyn Street,,,VT,05488
B000153,5722 8th Street Northwest,,Washington,DC,20011
B000154,8700 Seaton Boulevard,,Montgomery,AL,36116
B000155,1004 Bellflower Street,,Livermore,CA,94551
B000156,4738 Mallard Common,,Fremont,CA,94555
B000157,875 Latouche Street,#APT 001010,Anchorage,AK,99501
B000158,4940 Fuller Road,,Montgomery,AL,36110
B000159,5754 Belleau Drive,,Montgomery,AL,36117
B000160,1403 Lincoln Street,,Savannah,GA,31401
B000161,140 South Hill Avenue,#305,Fayetteville,AR,72701
B000162,642 South 2nd Street,#608,Louisville,KY,40202
B000163,6473 Zephyr Street,,Arvada,CO,80004
B000164,4250 North Valley Lake Drive,#8,Fayetteville,AR,72703
B000165,565 North Lakeshore Drive,,Panama City Beach,FL,32413
B000166,5514 West Wedington Drive,#3,Fayetteville,AR,72704
B000167,1909 Wainwright Avenue,,Panama City,FL,32405
B000168,4525 West Frier Drive,,Glendale,AZ,85301
B000169,201 West Montgomery Cross Road,#170,Savannah,GA,31406
B000170,915 Heath Drive,,Montgomery,AL,36108
B000171,95 Briarwood Drive,,Manchester,CT,06040
B000172,69 Washington Street,,Manchester,CT,06042
B000173,2900 North Western Avenue,,Edmond,OK,73012
B000174,7841 West Kristal Way,,Glendale,AZ,85308
B000175,361 Parmley Lane,,Nashville,TN,37207
B000176,6120 Southeast 84th Street,,Oklahoma City,OK,73135
B000177,9428 North 65th Drive,,Glendale,AZ,85302
B000178,11 Meeting Place Circle,,Boxford,MA,01921
B000179,4438 Maine Avenue,,Baldwin Park,CA,91706
B000180,65 Jones Lane,,Montevallo,AL,35115
B000181,3140 Commander Drive,,Louisville,KY,40220
B000182,107 Guaymas Place,,Davis,CA,95616
B000183,6114 West Glenn Drive,#1,Glendale,AZ,85301
B000184,622 Thomas Street,,Woodland,CA,95776
B000185,127 Grand Heron Drive,,Panama City,FL,32407
B000186,3504 East 16th Avenue,,Anchorage,AK,99508
B000187,1230 Stafford Drive,,Montgomery,AL,36117
B000188,6007 Yarrow Street,H,Arvada,CO,80004
B000189,632 Belmar Drive,,Edmond,OK,73025
B000190,1515 Chandlee Avenue,,Panama City,FL,32405
B000191,10632 Admiral Court,,Oklahoma City,OK,73162
B000192,11655 West 81st Avenue,,Arvada,CO,80005
B000193,3500 Blanchard Drive Southwest,,Washington,DC,20032
B000194,2755 Country Drive,#244,Fremont,CA,94536
B000195,1850 Berryhill Place,,Montgomery,AL,36117
B000196,58 North U.S.A Drive,,Fayetteville,AR,72701
B000197,8785 Ellis Court,,Arvada,CO,80005
B000198,1636 Briarview Court,,Severn,MD,21144
B000199,12 Knox Street,,Manchester,CT,06040
B000200,425 Middle Turnpike East,,Manchester,CT,06040
B000201,2017 North Hartford Drive,,Fayetteville,AR,72701
B000202,5900 Upland Road,,Brooklyn Park,MD,21225
B000203,9331 Edison Road,,Lithia,FL,33547
B000204,1810 Orchard Place,,Anchorage,AK,99502
B000205,145 Grau Drive,,Fremont,CA,94536
B000206,3959 Fairlands Drive,,Pleasanton,CA,94588
B000207,3613 East 18th Avenue,,Anchorage,AK,99508
B000208,1275 South Holland Drive,,Fayetteville,AR,72704
B000209,109 Cambridge Station Road,,Louisville,KY,40223
B000210,2107 Elfen Glen,Apt B,Van Buren,AR,72956
B000211,8522 Ingalls Circle,,Arvada,CO,80003
B000212,1809 Cedar Drive,,Severn,MD,21144
B000213,1376 Oakland Avenue,#1,Fayetteville,AR,72703
B000214,4306 Bylsma Circle,,Panama City,FL,32404
B000215,233 Buckland Hills Drive,,Manchester,CT,06042
B000216,7701 Southwest 104th Street,,Oklahoma City,OK,73169
B000217,14003 Crossbranch Court,,Louisville,KY,40245
B000218,19590 East Batavia Drive,,Aurora,CO,80011
B000219,6424 Simms Street,#71,Arvada,CO,80004
B000220,718 Dutchmans Court,,Nashville,TN,37076
B000221,8496 Isles Court,,Pasadena,MD,21122
B000222,100 East Joyce Boulevard,#110,Fayetteville,AR,72703
B000223,9036 Calico Court,,Hesperia,CA,92344
B000224,2723 East Joyce Boulevard,,Fayetteville,AR,72703
B000225,90 Via Verde,,San Lorenzo,CA,94580
B000226,1015 Castle Road,,Edmond,OK,73034
B000227,2787 West Blackstone Crossing,,Fayetteville,AR,72704
B000228,3555 Alamosa Drive,,Anchorage,AK,99502
B000229,6231 North 59th Avenue,#35,Glendale,AZ,85301
B000230,311 South Panama Street,,Montgomery,AL,36107
B000231,3313 Daisy Trail,,Nashville,TN,37013
B000232,5436 Dorbrandt Street,#APT 000002,Anchorage,AK,99518
B000233,553 South Arlington Road,,Orange,CA,92869
B000234,615 Q Street Northwest,,Washington,DC,20001
B000235,457 Mountain Village Boulevard,#320-3,Mountain Village,CO,81435
B000236,144 Lauderdale Street,,Montgomery,AL,36116
B000237,2 Ambelwood Way,,Savannah,GA,31411
B000238,4113 Holiday Drive,,Panama City,FL,32408
B000239,2001 Van Hoose Drive,,Fayetteville,AR,72701
B000240,9457 Winfield Place,,Montgomery,AL,36117
B000241,1120 Mitchell Young Road,,Montgomery,AL,36108
B000242,12816 West 65th Way,,Arvada,CO,80004
B000243,10 Erick Road,#47,Mansfield,MA,02048
B000244,481 East Redbud Lane,,Fayetteville,AR,72703
B000245,320 Northwest 22nd Street,,Oklahoma City,OK,73103
B000246,33 South Hill Avenue,#306,Fayetteville,AR,72701
B000247,355 Gillette Road,,Nashville,TN,37211
B000248,151 Main Street,,Savannah,GA,31408
B000249,545 Tracey Drive,,Panama City,FL,32404
B000250,3 Southerberry Drive,,,VT,05468
B000251,736 Sicard Street Southeast,,Washington,DC,20003
B000252,6214 Herzog Street,,Oakland,CA,94608
B000253,1160 North College Avenue,#2,Fayetteville,AR,72703
B000254,5843 West McLellan Road,,Glendale,AZ,85301
B000255,1452 55th Avenue,B,Oakland,CA,94621
B000256,4255 Tanager Common,,Fremont,CA,94555
B000257,13426 West Rovey Avenue,,Litchfield Park,AZ,85340
B000258,195 Nursery Street,#D10,Springfield,MA,01104
B000259,126 Marjorie Lane,C,Manchester,CT,06042
B000260,22 Charnock Street,#2,Beverly,MA,01915
B000261,817 25th Street Northwest,,Washington,DC,20037
B000262,2552 Massachusetts Avenue Northwest,,Washington,DC,20008
B000263,1711 Lore Road,#APT 000106,Anchorage,AK,99507
B000264,19091 Northeast 23rd Street,,Harrah,OK,73045
B000265,8318 North 57th Drive,,Glendale,AZ,85302
B000266,7256 West 84th Way,#918,Arvada,CO,80003
B000267,706 Seagrove Road,,Glen Burnie,MD,21060
B000268,2318 Camryns Crossing,,Panama City,FL,32405
B000269,968 Virginia Avenue,,Olivehurst,CA,95961
B000270,416 South University Boulevard,,Norman,OK,73069
B000271,137 Gazebo East Drive,,Montgomery,AL,36117
B000272,10723 Colonial Woods Court,,Louisville,KY,40223
B000273,119 Matthew Lane,,Nashville,TN,37215
B000274,3142 West Finger Road,,Fayetteville,AR,72701
B000275,4 Elm Street,,Windsor,VT,05089
B000276,78 School Street,,Woburn,MA,01801
B000277,19020 North 68th Avenue,,Glendale,AZ,85308
B000278,2849 Quail Drive,,Fayetteville,AR,72704
B000279,2456 22nd Avenue,,Greeley,CO,80631
B000280,200 Boulder Road,,Manchester,CT,06040
B000281,11150 Sun Valley Drive,,Oakland,CA,94605
B000282,505 Southeast 32nd Street,,Oklahoma City,OK,73129
B000283,1025 West 19th Street,#UNIT 1-C,Panama City,FL,32405
B000284,6725 Pamela Court,,Montgomery,AL,36116
B000285,4714 Narrow Lane Road,,Montgomery,AL,36116
B000286,11 Proctor Circle,,Peabody,MA,01960
B000287,10508 Kovats Court,,Louisville,KY,40223
B000288,3179 18th Street Northwest,,Washington,DC,20010
B000289,3194 Bladensburg Road Northeast,,Washington,DC,20018
B000290,260 Rio Del Mar Boulevard,##14,Aptos,CA,95003
B000291,1040 West 27th Avenue,#APT 000401,Anchorage,AK,99503
B000292,42 Lake Lane,,Westmore,VT,05860
B000293,3718 Bay Tree Road,,Lynn Haven,FL,32444
B000294,3408 Bellisima Place,#204,Louisville,KY,40245
B000295,4109 General Bate Drive,,Nashville,TN,37204
B000296,5329 A Street,,Greeley,CO,80634
B000297,88 Shute Street,#1,Everett,MA,02149
B000298,480 Keene Road,,Walden,VT,05836
B000299,4 Cutting Avenue,,Worcester,MA,01606
B000300,275 South 40th Street,,Boulder,CO,80305
B000301,1189 Northwest End Avenue,#D3,Fayetteville,AR,72703
B000302,25 Cliffside Drive,D,Manchester,CT,06042
B000303,2515 60th Avenue,,Oakland,CA,94605
B000304,2057 Lucas Street,,Montgomery,AL,36107
B000305,386 Daniels Road,,New Haven,VT,05472
B000306,9805 Meadow Vale Drive,,Louisville,KY,40242
B000307,8 Village Circle,,Randolph,VT,05060
B000308,1011 San Jose Street,,San Leandro,CA,94577
B000309,2505 Walker Lane,,Nashville,TN,37207
B000310,11225 West 79th Drive,,Arvada,CO,80005
B000311,1907 18th Avenue South,,Nashville,TN,37212
B000312,16 Conway Street,,Shelburne Falls,MA,01370
B000313,20375 Wisteria Street,,Castro Valley,CA,94546
B000314,6408 Fern Crest Road,,Louisville,KY,40291
B000315,175 Creek Road,,Castleton,VT,05735
B000316,2531 Prestwick Avenue,,Concord,CA,94519
B000317,1002 Highland Avenue,,Louisville,KY,40204
B000318,2927 Leatherwood Drive,,Nashville,TN,37214
B000319,8467 Chase Drive,,Arvada,CO,80003
B000320,8556 Nelson Court,,Arvada,CO,80005
B000321,122 Summer Street,#1,Medford,MA,02155
B000322,12061 Johns Road,#APT 000002,Anchorage,AK,99515
B000323,8358 WB&A Road,,Severn,MD,21144
B000324,43 Henderson Avenue,,Savannah,GA,31406
B000325,347 Brewer Drive,,Nashville,TN,37211
B000326,2765 North Barcelona Avenue,,Fayetteville,AR,72703
B000327,5311 Chenoweth Park Lane,,Louisville,KY,40291
B000328,6398 Jellison Way,,Arvada,CO,80004
B000329,604 Northwest 118th Street,,Oklahoma City,OK,73114
B000330,37 Rushforde Drive,,Manchester,CT,06040
B000331,5434 West Beck Lane,,Glendale,AZ,85306
B000332,1516 Ringe Drive,,Severn,MD,21144
B000333,3701 Lake Towne Drive,,Nashville,TN,37013
B000334,20250 North 67th Avenue,#2143,Glendale,AZ,85308
B000335,62 Prospect Avenue,#1,Quincy,MA,02170
B000336,25 Morton Street,#216,Quincy,MA,02169
B000337,8202 4 Winds Drive,#3,Lyndon,KY,40222
B000338,513 Habberton Road,,Fayetteville,AR,72703
B000339,1960 Sigfrid Court,,Annapolis,MD,21401
B000340,663 Chesapeake Way,#1,Fayetteville,AR,72701
B000341,3354 Wilmington Road,,Montgomery,AL,36105
B000342,8529 Old Harding Lane,,Nashville,TN,37221
B000343,22219 Panama City Beach Parkway,,Panama City Beach,FL,32413
B000344,37 East Broad Street,,Savannah,GA,31401
B000345,1309 Columbia Road Northwest,,Washington,DC,20009
B000346,1211 Castine Court,,Pasadena,MD,21122
B000347,906 West Berry Street,#204,Fayetteville,AR,72701
B000348,341 Oakland Street,,Manchester,CT,06042
B000349,60 Downey Drive,,Manchester,CT,06040
B000350,3770 North Front Street,,Fayetteville,AR,72703
B000351,25 Church Street,A,Pittsfield,MA,01201
B000352,6578 Marauder Drive,,Nashville,TN,37209
B000353,2747 68th Avenue,,Oakland,CA,94605
B000354,95 Woods Hill Road,,,VT,05488
B000355,35 Keach Avenue,,Worcester,MA,01607
B000356,1822 North Grand Avenue,,Pueblo,CO,81003
B000357,1809 U.S. 80,,Savannah,GA,31408
B000358,5065 North 54th Avenue,#8,Glendale,AZ,85301
B000359,1261 Steamboat Drive,#3,Fayetteville,AR,72704
B000360,1695 Archer Street,,Savannah,GA,31405
B000361,3904 October Woods Drive,,Nashville,TN,37013
B000362,1223 Delaware Avenue,,Deale,MD,20733
B000363,10383 Eagle River Lane,,Anchorage,AK,99577
B000364,1314 89th Avenue,,Oakland,CA,94621
B000365,21 Longview Bluff Drive East,,Savannah,GA,31419
B000366,1689 Fisher Pond Road,,Saint Albans City,VT,05478
B000367,9920 West 81st Avenue,,Arvada,CO,80005
B000368,2732 Rosedale Place,,Nashville,TN,37211
B000369,10881 Northforde Drive,,Cupertino,CA,95014
B000370,926 Mill Court,,Savannah,GA,31419
B000371,7550 Kline Drive,,Arvada,CO,80005
B000372,5688 Johnson Court,,Arvada,CO,80002
B000373,4439 Gale Street,,Livermore,CA,94550
B000374,6450 West Bethany Home Road,,Glendale,AZ,85301
B000375,2931 Shady Oaks Drive,,Evans,CO,80620
B000376,6451 West Bell Road,#1144,Glendale,AZ,85308
B000377,644 West Maple Street,#2,Fayetteville,AR,72701
B000378,1219 North Storer Avenue,#66,Fayetteville,AR,72703
B000379,152 Holly Court,,Mountain View,CA,94043
B000380,6086 Kennedy Drive,,Fayetteville,AR,72704
B000381,2300 Deer Path Circle,#207,Hurstbourne Acres,KY,40220
B000382,802 East 37th Street,,Savannah,GA,31401
B000383,5821 Taft Street,,Arvada,CO,80004
B000384,188 Saint Matthews Avenue,#1,Louisville,KY,40207
B000385,68 Hampstead Place,,Athol,MA,01331
B000386,3164 West Woodfield Way,,Fayetteville,AR,72704
B000387,7998 Chase Circle,#1,Arvada,CO,80003
B000388,1797 Pasatiempo Drive,,Chico,CA,95928
B000389,3722 Kisling Loop,,Tyndall Air Force Base,FL,32403
B000390,429 Patterson Street,,Nashville,TN,37211
B000391,6140 Fenton Street,,Arvada,CO,80003
B000392,7404 West Crest Lane,,Glendale,AZ,85310
B000393,7841 North 59th Lane,#G37,Glendale,AZ,85301
B000394,8043 Cranberry Street,#APT 000001,Anchorage,AK,99502
B000395,173 Spruce Street,#18,Manchester,CT,06040
B000396,4712 Cherokee Heights Road,,Panama City,FL,32404
B000397,915 Sacramento Street,,Bakersfield,CA,93305
B000398,317 Windsor Road,,Savannah,GA,31419
B000399,1332 Maple Street,,Montgomery,AL,36108
B000400,4709 Blagden Terrace Northwest,,Washington,DC,20011
B000401,5102 Ander Drive,,Brentwood,TN,37027
B000402,6754 Field Street,,Arvada,CO,80004
B000403,2347 Glen Eagle Drive,,Northfield,KY,40222
B000404,1613 Maple Timber Court,,Nashville,TN,37013
B000405,269 Park Street,#1,North Reading,MA,01864
B000406,6444 North 67th Avenue,#1081,Glendale,AZ,85301
B000407,11 Pine Point Road,,Duxbury,MA,02332
B000408,4136 East Virginia Lane,,Montgomery,AL,36116
B000409,5740 North 59th Avenue,#1156,Glendale,AZ,85301
B000410,95 Central Street,A,Springfield,MA,01105
B000411,74 Heard Street,#1,Chelsea,MA,02150
B000412,2500 Snowdoun Chambers Road,,Montgomery,AL,36105
B000413,429 Dennison Ridge Drive,,Manchester,CT,06040
B000414,1208 Lindenwood Drive,,Panama City,FL,32405
B000415,7609 Doris Place,,Oklahoma City,OK,73162
B000416,1915 Southeast 29th Street,,Oklahoma City,OK,73129
B000417,212 Holiday Circle,,Savannah,GA,31419
B000418,32 Amsden Street,#1,Arlington,MA,02474
B000419,4016 Doane Street,,Fremont,CA,94538
B000420,8700 Lillington Circle,,Montgomery,AL,36117
B000421,7720 Allison Street,#105,Arvada,CO,80005
B000422,17878 Front Beach Road,#C-2,Panama City Beach,FL,32413
B000423,1328 Tuckerman Street Northwest,,Washington,DC,20011
B000424,4600 East Huntsville Road,,Fayetteville,AR,72701
B000425,5038 North Cimarron Drive,,Beverly Hills,FL,34465
B000426,1216 West Hill Street,M,Louisville,KY,40210
B000427,3033 Aubert Avenue,,Louisville,KY,40206
B000428,17020 West 64th Drive,,Arvada,CO,80007
B000429,12420 West Montebello Avenue,,Litchfield Park,AZ,85340
B000430,2538 East 40th Plaza,,Panama City,FL,32405
B000431,827 10th Street Northeast,,Washington,DC,20002
B000432,5912 North 48th Avenue,,Glendale,AZ,85301
B000433,37 Fieldside Drive,,Groton,CT,06340
B000434,9176 Ellis Way,,Arvada,CO,80005
B000435,5370 Business Park Drive,,Montgomery,AL,36116
B000436,1612 Beech Street,,Louisville,KY,40211
B000437,8532 Ingalls Circle,,Arvada,CO,80003
B000438,7941 Alpine View Circle,,Anchorage,AK,99507
B000439,8595 West 81st Drive,,Arvada,CO,80005
B000440,4296 North Blossom Court,,Fayetteville,AR,72703
B000441,1738 Annabellas Drive,,Panama City Beach,FL,32407
B000442,3215 Madsen Street,,Hayward,CA,94541
B000443,4 Village Lake Drive,#4,Fayetteville,AR,72703
B000444,86 Russell Street,,Manchester,CT,06040
B000445,570 Broadway,,Lynnfield,MA,01940
B000446,1405 Monroe Street Northeast,,Washington,DC,20017
B000447,900 North Leverett Avenue,#126,Fayetteville,AR,72701
B000448,222 Quince Street,#2-B,San Diego,CA,92103
B000449,370 Wallace Road,#D-28,Nashville,TN,37211
B000450,6672 Urban Court,,Arvada,CO,80004
B000451,516 Southwest 60th Terrace,,Oklahoma City,OK,73139
B000452,1513 Southeast 9th Street,,Moore,OK,73160
B000453,154 Byrd Drive,,Panama City,FL,32404
B000454,1106 Homer Avenue,,Savannah,GA,31405
B000455,1010 M Street Northwest,,Washington,DC,20001
B000456,5420 Allison Street,#202,Arvada,CO,80002
B000457,20 Hacker Street,#3,Worcester,MA,01603
B000458,732 Kevin Court,,Oakland,CA,94621
B000459,509 Franklin Street Northeast,,Washington,DC,20017
B000460,23 Whitcomb Street,,Springfield,VT,05156
B000461,3377 Sandstone Court,,Pleasanton,CA,94588
B000462,14 Huntington Street,,Manchester,CT,06040
B000463,2802 US Highway 98,BLDG F,Mexico Beach,FL,32456
B000464,412 Virginia Avenue,,Louisville,KY,40222
B000465,1644 New Jersey Avenue Northwest,,Washington,DC,20001
B000466,832 51st Street Northeast,,Washington,DC,20019
B000467,894 Windmill Park Lane,,Mountain View,CA,94043
B000468,9636 Morar Road,,Panama City,FL,32409
B000469,9472 Noble Way,,Arvada,CO,80007
B000470,618 Staley Avenue,,Hayward,CA,94541
B000471,8704 Bayberry Place,,Plantation,KY,40242
B000472,2506 West Madison Street,,Louisville,KY,40211
B000473,840 Inglewood Drive,,West Sacramento,CA,95605
B000474,10 Dalry Lane,,Savannah,GA,31419
B000475,3301 Nora Lane,,Louisville,KY,40220
B000476,8304 Glaser Lane,,Louisville,KY,40291
B000477,3720 West 86th Avenue,APT F,Anchorage,AK,99502
B000478,3298 Chestnut Street Northwest,,Washington,DC,20015
B000479,82 Fairfield Street,,Manchester,CT,06040
B000480,3138 P Street Northwest,,Washington,DC,20007
B000481,80 Locust Avenue,#110,Worcester,MA,01604
B000482,2715 Thornbrook Court,,Odenton,MD,21113
B000483,3579 2nd Avenue,,Edgewater,MD,21037
B000484,6739 Taft Court,,Arvada,CO,80004
B000485,1528 Stafford Avenue,,Hayward,CA,94541
B000486,2024 Merrily Drive,,Montgomery,AL,36111
B000487,2034 Fairfax Road,,Annapolis,MD,21401
B000488,1430 East Audubon Road,,Montgomery,AL,36111
B000489,3652 East Blue Stone Drive,,Fayetteville,AR,72764
B000490,3302 Woodland Park Drive,#APT 000001,Anchorage,AK,99517
B000491,1771 Daisey Court,,Millersville,MD,21108
B000492,406 East Waldburg Street,,Savannah,GA,31401
B000493,11843 North 60th Avenue,,Glendale,AZ,85304
B000494,9515 West 74th Avenue,,Arvada,CO,80005
B000495,119 Antioch Pike,,Nashville,TN,37211
B000496,1157 1st Street Northwest,,Washington,DC,20001
B000497,3578 Galindo Street,,Oakland,CA,94601
